nodes,communities
MADBLACKTWINK,3
TeaPartyOrg,4
DrSueDVM,5
esquire,2
FT,2
CanProveIt,3
foxnewspolitics,5
charliekirk11,5
BBCSport,3
PlaysTrumpCard,4
PatriciaBride,4
JustDonPerla,4
TransferSources,1
Samstwitch,4
tomwatson,2
stylistkavin,2
chrisye5123,4
cspan,4
drewwyatt,4
MarcACaputo,5
ShaneGoldmacher,2
pbump,2
David360NC,4
MZHemingway,5
RichardAngwin,3
P0TUS,2
davidaxelrod,2
smitharyy,1
morningmoneyben,2
Tahquamenon70,4
epPaulZimmer,1
JoeFreedomLove,4
Timodc,5
micnews,3
watchdoggy,4
NBCPolitics,2
marclamonthill,2
MarkDice,4
jedydynysem,4
PounderFile,5
la_patilla,1
Karoli,2
BeardedDre,3
MiaFarrow,2
DanaHoule,2
ObamaStopTPP,3
Pontifex_es,1
mterr337,2
SarahPalinUSA,4
SusanMaylone,3
JasonMillerinDC,5
DRUDGE,4
kenvogel,2
kincannon_show,4
McCormackJohn,5
Dbargen,4
scottlincicome,5
10thAmendment,4
TheAffinityMag,3
GOPBlackChick,4
ninaturner,3
Redistrict,5
christinawilkie,2
rossr122,4
yayraptor,3
FrancisJstn,3
Phil_Lewis_,2
Mark_Beech,2
exjon,5
DarleneHBrook,5
SofiaVergara,3
lyhysydudop,4
allanbrauer,2
LisaBloom,2
joshrogin,2
philsadelphia,3
vinnycrack,1
PoliticalShort,4
Walldo,2
Knight276,4
ManUtdReport_,1
FL4TRUMPDOTCOM,4
timkaine,2
richardhine,2
randyprine,2
C0nservativeGal,4
Tip,3
Delo_Taylor,3
MOVEFORWARDHUGE,4
MichaelDelauzon,4
HawaiiDelilah,2
LibertyUSA1776,5
bbcmundo,3
1NatalieMaines,2
Honest_Hillary,3
MaxSteel747,4
Amy_Siskind,2
BrasilLM,3
HistoryToLearn,2
BernieCrats1,3
GarrettVentry,5
RufusKings1776,5
BeladonnaRogers,4
OurRevolution2,3
TweetLikeAGirI,5
NYC4TRUMP2016,4
MaxBlumenthal,3
noopdoggy,4
taygogo,3
Nashgrier,3
CarAutoDaily,1
realDenaldTrump,5
pollreport,2
FallonTonight,5
giselle_xo,3
youngvulgarian,2
ILoveBernie1,3
at_maggiemac,4
NomikiKonst,3
relombardo3,3
gracy69epixnet,5
bigboater88,4
ChefMabrie,3
kinni00,4
dog_rates,5
CounterMoonbat,5
greggutfeld,5
KockaAnnette,5
Opter_,3
Humans_vs_Trump,5
BBFeedster,3
TimeforTruth16,4
atlaswon,4
BillMoyersHQ,3
JYSexton,2
AriFleischer,5
dick_nixon,2
JoshSchwerin,2
Bro_Pair,2
HistoricalPics,3
TODAYshow,5
PatDollard,4
JackBPR,4
ChartsLMBR,3
THEHermanCain,4
JLovesTrump,4
cyvault,4
